© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(B-H p-value)	Ratio	z-score	Molecules
Ephrin A Signaling	-0E00	1E-01	NaN	FYN,CFL1,GRB2,FGFR1,PIK3R1,FGFR2
Heparan Sulfate Biosynthesis	-0E00	1.2E-02	NaN	AARSD1
Fatty Acid Activation	-0E00	7.69E-02	NaN	SLC27A2
Bupropion Degradation	-0E00	8E-02	NaN	CYP2C18,CYP2C8
Glucose and Glucose-1-phosphate Degradation	-0E00	9.09E-02	NaN	HK2
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	-0E00	2.33E-02	NaN	B4GAT1
Nicotine Degradation III	-0E00	5.36E-02	NaN	CYP2C18,B4GAT1,CYP2C8
Dopamine Degradation	-0E00	2.7E-02	NaN	ALDH2
Chondroitin Sulfate Degradation (Metazoa)	-0E00	6.25E-02	NaN	GALNS
Heparan Sulfate Biosynthesis (Late Stages)	-0E00	1.32E-02	NaN	AARSD1
Androgen Biosynthesis	-0E00	7.14E-02	NaN	EBP
Glutathione Redox Reactions I	-0E00	8.33E-02	NaN	GSR,GSTK1
Ubiquinol-10 Biosynthesis (Eukaryotic)	-0E00	1.11E-01	NaN	CYP7B1,COQ2
CDP-diacylglycerol Biosynthesis I	-0E00	8.33E-02	NaN	LPCAT4,TAZ
Acyl-CoA Hydrolysis	-0E00	8.33E-02	NaN	ACOT7
tRNA Splicing	-0E00	9.52E-02	NaN	ENPP6,TDP2,TSEN2,FICD
Melatonin Degradation I	-0E00	4.62E-02	NaN	CYP2C18,B4GAT1,CYP2C8
γ-linolenate Biosynthesis II (Animals)	-0E00	5.88E-02	NaN	SLC27A2
Phosphatidylethanolamine Biosynthesis II	-0E00	1.11E-01	NaN	CEPT1
Triacylglycerol Degradation	-0E00	3.7E-02	NaN	DDHD2,AARSD1
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	-0E00	3.7E-02	NaN	PLCG2
Phospholipases	-0E00	6.45E-02	NaN	PDIA3,PLA2G10,PLCG2,PLA2G2A
Estrogen Biosynthesis	-0E00	7.32E-02	NaN	CYP2C18,HSD17B12,CYP2C8
Tryptophan Degradation X (Mammalian, via Tryptamine)	-0E00	4E-02	NaN	ALDH2
Glutathione-mediated Detoxification	-0E00	9.38E-02	NaN	GSTM5,GSTO1,GSTK1
Nicotine Degradation II	-0E00	4.62E-02	NaN	CYP2C18,B4GAT1,CYP2C8
Mitochondrial L-carnitine Shuttle Pathway	-0E00	5.88E-02	NaN	SLC27A2
Serotonin Degradation	-0E00	2.6E-02	NaN	ALDH2,B4GAT1
Bile Acid Biosynthesis, Neutral Pathway	-0E00	7.69E-02	NaN	SCP2
Retinol Biosynthesis	-0E00	2.38E-02	NaN	DDHD2
γ-glutamyl Cycle	-0E00	7.69E-02	NaN	GGT5
Triacylglycerol Biosynthesis	-0E00	6.52E-02	NaN	PPP2R2D,LPCAT4,TAZ
Histamine Degradation	-0E00	5.26E-02	NaN	ALDH2
Dolichyl-diphosphooligosaccharide Biosynthesis	-0E00	9.09E-02	NaN	DPM3
Superpathway of Melatonin Degradation	-0E00	4.29E-02	NaN	CYP2C18,B4GAT1,CYP2C8
Histidine Degradation VI	-0E00	6.67E-02	NaN	CYP7B1
Stearate Biosynthesis I (Animals)	-0E00	6.82E-02	NaN	SLC27A2,LPCAT4,ACOT7
Noradrenaline and Adrenaline Degradation	-0E00	2.5E-02	NaN	ALDH2
Pregnenolone Biosynthesis	-0E00	8.33E-02	NaN	CYP7B1
Acetone Degradation I (to Methylglyoxal)	-0E00	6.67E-02	NaN	CYP2C18,CYP2C8
Putrescine Degradation III	-0E00	4.35E-02	NaN	ALDH2
Glucocorticoid Biosynthesis	-0E00	9.09E-02	NaN	EBP
GDP-glucose Biosynthesis	-0E00	1E-01	NaN	HK2
Fatty Acid α-oxidation	-0E00	9.09E-02	NaN	ALDH2,ALOXE3
Mineralocorticoid Biosynthesis	-0E00	1E-01	NaN	EBP
Glycine Betaine Degradation	-0E00	1E-01	NaN	SHMT2
Oxidative Ethanol Degradation III	-0E00	9.52E-02	NaN	ALDH2,ACSS1
Ethanol Degradation IV	-0E00	8E-02	NaN	ALDH2,ACSS1
Ethanol Degradation II	-0E00	5.41E-02	NaN	ALDH2,ACSS1
Inhibition of Matrix Metalloproteases	-0E00	1.03E-01	NaN	HSPG2,SDC1,SDC2,LRP1
Agranulocyte Adhesion and Diapedesis	-0E00	7.77E-02	NaN	ITGB1,VCAM1,ICAM2,FN1,ICAM1,CDH5,ACTA2,TNFRSF1A,EZR,ACTB,ITGA5,CCL22,ACTC1,ACTA1,ITGA4
Granulocyte Adhesion and Diapedesis	-0E00	8.84E-02	NaN	ITGB1,VCAM1,ICAM1,SDC1,TNFRSF1A,FPR2,ITGA5,THY1,CCL22,IL1R2,ICAM2,CDH5,SDC2,EZR,HSPB1,ITGA4
Sperm Motility	-0E00	7.87E-02	NaN	CALM1 (includes others),TWF1,PDIA3,PLA2G10,PLCG2,PRKACA,PRKCE,MST1R,ITPR1,PLA2G2A
Vitamin-C Transport	-0E00	6.25E-02	NaN	GSTO1
Phototransduction Pathway	-0E00	5.66E-02	NaN	GNB1,GNB5,PRKACA
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	-0E00	1.1E-01	NaN	GRPR,PDIA3,PLCG2,NPY2R,ADCY6,PRKACA,ITPR1,ADRB2
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	-0E00	9.82E-02	NaN	PDIA3,PLCG2,CACNB4,CACNA2D1,ADCY6,PRKACA,PRKCE,RAPGEF4,ITPR1,CACNB3,CACNA1A
Inflammasome pathway	-0E00	1E-01	NaN	NLRP3,CASP8
Complement System	-0E00	2.7E-02	NaN	C1QBP
